segid	original	translation	accuracy	fluency	tq	mean	scaled_tq	scaled_mean	da
RU_1_25_11_s2	On Fridays many dress down, but is the suit in general decline as the standard business wear?	Как правило, в конце недели люди одеваются совсем не так как на работу, но, насколько сохранилась традиция носить костюм в качестве офисного дресс-кода во время трудовой деятельности?	-17.647058823529424	29.411764705882355	-88.23529411764704	5.882352941176463	68.34733893557424	68.34733893557424	
RU_1_146_1_s4	In the late 19th century, the science fiction of Jules Verne and H.G. Wells popularized the idea of alien life.	В конце XIX столетия научно-фантастические произведения Жюля Верна и Г. Дж. Уэллса распространили идею о внеземной жизни.	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	12345.0
RU_1_172_7_s18	With that in mind, the second- and third-choice teams have started their season on the lower-ranked American Cup circuit.	С учетом такого расклада команды, занявшие вторые и третьи места, начали сезон с соревнований за Американский кубок, которые приносят меньше всего рейтинга.	-5.2631578947368345	100.0	-5.2631578947368345	47.368421052631575	80.20050125313284	80.20050125313284	
RU_1_203_12_s1	By Richard Branson 14 July 2014	Ричард Брэнсон 14 июля, 2014	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	100.0
RU_1_265_14_s5	Sterling lost one-tenth of its value in two days of trading. The FTSE 250, an index of domestically focused firms, fell by 14%.	За два дня торгов фунт стерлингов потерял одну десятую своей стоимости, а индекс отечественных компаний (FTSE 250) упал на 14 %.	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	12345.0
RU_1_131_11_s5	Humans, on the other hand, are looking for liquid fuel to power cars and electricity to run refrigerators.	В то время как, людям необходимо жидкое топливо для работы машин и электричество для холодильников.	100.0	44.444444444444436	44.444444444444436	72.22222222222223	87.30158730158729	87.30158730158729	
RU_1_238_3_s9	As an example, in January 2014, there were only nine women Heads of State and only 15 Heads of Government.	Например, в январе 2014 года среди глав государств было всего 9 женщин, и всего 15 женщин стояли во главе правительств.	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	91.6666666666667
RU_1_235_3_s1	There are several hundred well-documented cultures in the world, most of them belonging to major nation-states - France, Germany, Russia, Japan, etc.	На сегодняшний день нам известно о существовании нескольких сотен культур, большинство из которых относятся к крупным государствам, например к Франции, Германии, России, Японии.	100.0	54.54545454545455	54.54545454545455	77.27272727272728	88.74458874458875	88.74458874458875	
RU_1_377_12_s7	Just 1% of smartphones use an operating system that isn't iOS or Android - made by Apple and Google.	и только у 1% смартфонов другая операционная система, а не iOS или Android (продукты Apple и Google соответственно).	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	94.0
RU_1_324_11_s1	How we'll earn money in a future without jobs	Давайте начнем с довольно волнующего вопроса: будет ли у нас в будущем работа?	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	12345.0
RU_1_300_7_s9	The two - observations and views, data and theory - are the conjoined twins of science.	Наблюдения и идея, факты и теория - это две пары сиамских близнецов науки.	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	94.6666666666667
RU_1_131_7_s6	For years, scientists have been trying to come up with a way to use the same energy system that plants do but with an altered end output.	В течение многих лет ученые пытались придумать способ, чтобы использовать ту же самую энергетическую систему, что и растения, но с получением энергии в результате процесса.	62.96296296296296	62.96296296296296	25.92592592592593	62.96296296296296	84.65608465608466	84.65608465608466	75.0
RU_1_25_10_s14	"""Even in the City, people are wearing suits but no ties."	"""Теперь даже в городах люди носят костюмы без галстуков."	-81.81818181818181	100.0	-81.81818181818181	9.090909090909092	69.26406926406928	69.26406926406928	94.0
RU_1_325_4_s9	Ancient Egyptian society saw its fair share of revolts and conquests, but a new paper hints that a surprising force may have been meddling in the affairs of the time.	Общество Древнего Египта знало много восстаний и завоеваний, но последняя статья намекает, что удивительная сила могла вмешиваться в дела и события того времени.	33.33333333333334	63.33333333333334	0.0	48.33333333333334	80.95238095238095	80.4761904761905	80.3333333333333
RU_1_189_4_s6	The EU and Africa are united by geography, by history, by human ties and most importantly by a common will to work hand in hand for the future.	Европейский союз и Африка объединены географией, историей, человеческими судьбами, и, самое главное, общим желанием совместно трудиться рука об рука на благо будущего.	100.0	64.28571428571428	64.28571428571428	82.14285714285714	90.13605442176872	90.13605442176872	
RU_1_131_9_s6	But that doesn't mean we can't look to photosynthesis to solve our dirty-, expensive-, dwindling-energy woes.	Но это совершенно не значит, то, что мы не можем рассчитывать на фотосинтез для решения наших проблем, связанных с каким-либо типом энергии, т.к. некоторые из них загрязняют атмосферу, или слишком дорогие в использовании, или, же вырабатывают энергию из истощающихся ресурсов.	37.5	100.0	37.5	68.75	86.30952380952381	86.30952380952381	81.6666666666667
RU_1_271_16_s12	One kid is growing bees in his body; another has a mouth at the back of her skull; one is full of air and will float away if you don't tie her down; another can make inanimate objects come to life; Miss P (Eva Green) herself can turn into a bird.	В одном живут пчёлы, у другой на затылке рот, третий умеет оживлять предметы, четвертая переполнена воздуха и улетает, как шарик, если ее не пришвартовать. Сама Мисс Перегрин (Ева Грин), хозяйка дома, умеет превращаться в птицу.	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	85.6666666666667
RU_1_148_1_s6	To be geo-literate is to be able to combine these three abilities to make decisions in real-world contexts.	Для того, чтобы быть гео-грамотным, необходимо уметь объединять эти три способности принимать решения в реальных жизненных условиях.	44.444444444444436	44.444444444444436	-11.111111111111114	44.444444444444436	79.36507936507937	79.36507936507937	89.3333333333333
RU_1_325_2_s12	Large eruptions can cause small but critical changes in rainfall around the headwaters of the Nile, something they found lined up with periods of revolt and instability in ancient Egypt.	Крупные извержения могут стать причиной небольших, но критически значимых изменений количества выпадающих осадков в районе верховьев Нила. Эти извержения связаны с периодами восстаний и нестабильности в Древнем Египте.	96.66666666666669	100.0	96.66666666666669	98.33333333333334	94.76190476190477	94.76190476190477	89.3333333333333
RU_1_329_9_s1	Zoe Williams, Sun 31 Dec '17 18.29 GMT.	Зои Уильямс; 31.12.2017	100.0	100.0	100.0	100.0	95.23809523809523	95.23809523809523	96.6666666666667
RU_1_240_10_s8	At a certain point though, the easier excuse gets found out and mistakes are exposed.	В определённый момент найти нужное оправдание становится всё проще, а ошибки руководства становятся всё заметнее.	-33.333333333333314	100.0	-33.333333333333314	33.33333333333334	76.19047619047622	76.19047619047622	85.6666666666667
